 MD145(): 0,000306 seg 
 MD145(): 0,000211 seg 
 MD145(): 0,000195 seg 
 MD145(): 0,000173 seg 
 MD145(): 0,000209 seg 
 MD145(): 0,000217 seg 
 MD145(): 0,000249 seg 
 MD145(): 0,000219 seg 
 MD145(): 0,000220 seg 
 MD145(): 0,000244 seg 
 MD145(): 0,000508 seg 
 MD145(): 0,000497 seg 
 MD145(): 0,000223 seg 
 MD145(): 0,000215 seg 
 MD145(): 0,000239 seg 
 MD145(): 0,000221 seg 
 MD145(): 0,000231 seg 
 MD145(): 0,000201 seg 
 MD145(): 0,000341 seg 
 MD145(): 0,000404 seg 
 MD145(): 0,000315 seg 
 MD145(): 0,000184 seg 
 MD145(): 0,000222 seg 
 MD145(): 0,000332 seg 
 MD145(): 0,000227 seg 
 MD145(): 0,000234 seg 
 MD145(): 0,000196 seg 
 MD145(): 0,000211 seg 
 MD145(): 0,000206 seg 
 MD145(): 0,000201 seg 
 MD145(): 0,000196 seg 
 MD145(): 0,000240 seg 
 MD145(): 0,000234 seg 
 MD145(): 0,000195 seg 
 MD145(): 0,000199 seg 
 MD145(): 0,000229 seg 
 MD145(): 0,000228 seg 
 MD145(): 0,000222 seg 
 MD145(): 0,000234 seg 
 MD145(): 0,000554 seg 
 MD145(): 0,000203 seg 
 MD145(): 0,000238 seg 
 MD145(): 0,000218 seg 
 MD145(): 0,000227 seg 
 MD145(): 0,000220 seg 
 MD145(): 0,000230 seg 
 MD145(): 0,000212 seg 
 MD145(): 0,000219 seg 
 MD145(): 0,000524 seg 
 MD145(): 0,000200 seg 
 MD145(): 0,000187 seg 
 MD145(): 0,000247 seg 
 MD145(): 0,000205 seg 
 MD145(): 0,000194 seg 
 MD145(): 0,000216 seg 
 MD145(): 0,000188 seg 
 MD145(): 0,000222 seg 
 MD145(): 0,000250 seg 
 MD145(): 0,000220 seg 
 MD145(): 0,000251 seg 
 MD145(): 0,000200 seg 
 MD145(): 0,000196 seg 
 MD145(): 0,000172 seg 
 MD145(): 0,000202 seg 
 MD145(): 0,000200 seg 
 MD145(): 0,000202 seg 
 MD145(): 0,000217 seg 
 MD145(): 0,000183 seg 
 MD145(): 0,000215 seg 
 MD145(): 0,000500 seg 
 MD145(): 0,000637 seg 
 MD145(): 0,000186 seg 
 MD145(): 0,000208 seg 
 MD145(): 0,000206 seg 
 MD145(): 0,000214 seg 
 MD145(): 0,000274 seg 
 MD145(): 0,000214 seg 
 MD145(): 0,000392 seg 
 MD145(): 0,000427 seg 
 MD145(): 0,000407 seg 
 MD145(): 0,000220 seg 
 MD145(): 0,000187 seg 
 MD145(): 0,000379 seg 
 MD145(): 0,000186 seg 
 MD145(): 0,000184 seg 
 MD145(): 0,000181 seg 
 MD145(): 0,000214 seg 
 MD145(): 0,000189 seg 
 MD145(): 0,000218 seg 
 MD145(): 0,000195 seg 
 MD145(): 0,000214 seg 
 MD145(): 0,000184 seg 
 MD145(): 0,000181 seg 
 MD145(): 0,000189 seg 
 MD145(): 0,000267 seg 
 MD145(): 0,000247 seg 
 MD145(): 0,000225 seg 
 MD145(): 0,000224 seg 
 MD145(): 0,000547 seg 
 MD145(): 0,000224 seg 
 MD145(): 0,000199 seg 
 MD145(): 0,000218 seg 
 MD145(): 0,000217 seg 
 MD145(): 0,000221 seg 
 MD145(): 0,000219 seg 
 MD145(): 0,000211 seg 
 MD145(): 0,000240 seg 
 MD145(): 0,000515 seg 
 MD145(): 0,000352 seg 
 MD145(): 0,000252 seg 
 MD145(): 0,000267 seg 
 MD145(): 0,000212 seg 
 MD145(): 0,000235 seg 
 MD145(): 0,000209 seg 
 MD145(): 0,000220 seg 
 MD145(): 0,000184 seg 
 MD145(): 0,000231 seg 
 MD145(): 0,000180 seg 
 MD145(): 0,000245 seg 
 MD145(): 0,000190 seg 
 MD145(): 0,000200 seg 
 MD145(): 0,000204 seg 
 MD145(): 0,000199 seg 
 MD145(): 0,000201 seg 
 MD145(): 0,000199 seg 
 MD145(): 0,000224 seg 
 MD145(): 0,000210 seg 
 MD145(): 0,000214 seg 
 MD145(): 0,000530 seg 
 MD145(): 0,000500 seg 
 MD145(): 0,000183 seg 
 MD145(): 0,000206 seg 
 MD145(): 0,000186 seg 
 MD145(): 0,000221 seg 
 MD145(): 0,000196 seg 
 MD145(): 0,000226 seg 
 MD145(): 0,000425 seg 
 MD145(): 0,000330 seg 
 MD145(): 0,000389 seg 
 MD145(): 0,000215 seg 
 MD145(): 0,000230 seg 
 MD145(): 0,000332 seg 
 MD145(): 0,000189 seg 
 MD145(): 0,000189 seg 
 MD145(): 0,000186 seg 
 MD145(): 0,000190 seg 
 MD145(): 0,000198 seg 
 MD145(): 0,000291 seg 
 MD145(): 0,000191 seg 
 MD145(): 0,000207 seg 
 MD145(): 0,000188 seg 
 MD145(): 0,000184 seg 
 MD145(): 0,000187 seg 
 MD145(): 0,000183 seg 
 MD145(): 0,000183 seg 
