 all(): 0,035145 seg 
 all(): 0,026978 seg 
 all(): 0,021328 seg 
 all(): 0,021289 seg 
 all(): 0,028528 seg 
 all(): 0,029468 seg 
 all(): 0,027798 seg 
 all(): 0,023458 seg 
 all(): 0,021351 seg 
 all(): 0,021352 seg 
 all(): 0,021632 seg 
 all(): 0,020402 seg 
 all(): 0,020926 seg 
 all(): 0,020349 seg 
 all(): 0,021342 seg 
 all(): 0,021271 seg 
 all(): 0,020520 seg 
 all(): 0,021621 seg 
 all(): 0,021084 seg 
 all(): 0,020844 seg 
 all(): 0,021207 seg 
 all(): 0,021230 seg 
 all(): 0,020932 seg 
 all(): 0,021241 seg 
 all(): 0,020697 seg 
 all(): 0,020873 seg 
 all(): 0,021503 seg 
 all(): 0,020891 seg 
 all(): 0,021533 seg 
 all(): 0,021352 seg 
