 all+book(): 0,025546 seg 
 all+book(): 0,021209 seg 
 all+book(): 0,023717 seg 
 all+book(): 0,025247 seg 
 all+book(): 0,024940 seg 
 all+book(): 0,020073 seg 
 all+book(): 0,023709 seg 
 all+book(): 0,025569 seg 
 all+book(): 0,025496 seg 
 all+book(): 0,021700 seg 
 all+book(): 0,022809 seg 
 all+book(): 0,026480 seg 
 all+book(): 0,022674 seg 
 all+book(): 0,021161 seg 
 all+book(): 0,023736 seg 
 all+book(): 0,020031 seg 
 all+book(): 0,023193 seg 
 all+book(): 0,025693 seg 
 all+book(): 0,022952 seg 
 all+book(): 0,022887 seg 
 all+book(): 0,021676 seg 
 all+book(): 0,021168 seg 
 all+book(): 0,022316 seg 
 all+book(): 0,020120 seg 
 all+book(): 0,021757 seg 
 all+book(): 0,020838 seg 
 all+book(): 0,020033 seg 
 all+book(): 0,024526 seg 
 all+book(): 0,020764 seg 
 all+book(): 0,022768 seg 
