 all(): 0,026689 seg 
 all(): 0,022954 seg 
 all(): 0,021013 seg 
 all(): 0,021077 seg 
 all(): 0,020277 seg 
 all(): 0,020697 seg 
 all(): 0,020386 seg 
 all(): 0,020123 seg 
 all(): 0,020977 seg 
 all(): 0,020113 seg 
 all(): 0,022115 seg 
 all(): 0,022165 seg 
 all(): 0,022460 seg 
 all(): 0,019765 seg 
 all(): 0,020208 seg 
 all(): 0,024307 seg 
 all(): 0,020100 seg 
 all(): 0,020820 seg 
 all(): 0,020666 seg 
 all(): 0,020172 seg 
 all(): 0,021016 seg 
 all(): 0,020002 seg 
 all(): 0,020215 seg 
 all(): 0,024583 seg 
 all(): 0,022182 seg 
 all(): 0,020085 seg 
 all(): 0,024225 seg 
 all(): 0,020818 seg 
 all(): 0,020059 seg 
 all(): 0,020837 seg 
