 decodeOneMessage144(): 0,000056 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000034 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000045 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000053 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000050 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000051 seg 
 decodeOneMessage144(): 0,000048 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000038 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000016 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000058 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000048 seg 
 decodeOneMessage144(): 0,000038 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000073 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000061 seg 
 decodeOneMessage144(): 0,000048 seg 
 decodeOneMessage144(): 0,000040 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000035 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000020 seg 
