 readOneMessage(): 0,000079 seg 
 readOneMessage(): 0,000036 seg 
 readOneMessage(): 0,000033 seg 
 readOneMessage(): 0,000039 seg 
 readOneMessage(): 0,000033 seg 
 readOneMessage(): 0,000040 seg 
 readOneMessage(): 0,000031 seg 
 readOneMessage(): 0,000030 seg 
 readOneMessage(): 0,000029 seg 
 readOneMessage(): 0,000035 seg 
 readOneMessage(): 0,000033 seg 
 readOneMessage(): 0,000034 seg 
 readOneMessage(): 0,000033 seg 
 readOneMessage(): 0,000031 seg 
 readOneMessage(): 0,000036 seg 
 readOneMessage(): 0,000031 seg 
 readOneMessage(): 0,000026 seg 
 readOneMessage(): 0,000024 seg 
 readOneMessage(): 0,000031 seg 
 readOneMessage(): 0,000034 seg 
 readOneMessage(): 0,000029 seg 
 readOneMessage(): 0,000030 seg 
 readOneMessage(): 0,000032 seg 
 readOneMessage(): 0,000027 seg 
 readOneMessage(): 0,000034 seg 
 readOneMessage(): 0,000028 seg 
 readOneMessage(): 0,000028 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000032 seg 
 readOneMessage(): 0,000033 seg 
 readOneMessage(): 0,000034 seg 
 readOneMessage(): 0,000034 seg 
 readOneMessage(): 0,000030 seg 
 readOneMessage(): 0,000026 seg 
 readOneMessage(): 0,000031 seg 
 readOneMessage(): 0,000033 seg 
 readOneMessage(): 0,000027 seg 
 readOneMessage(): 0,000519 seg 
 readOneMessage(): 0,000371 seg 
 readOneMessage(): 0,000362 seg 
 readOneMessage(): 0,000031 seg 
 readOneMessage(): 0,000034 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000023 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000277 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000243 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000018 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000245 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000026 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000025 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000022 seg 
 readOneMessage(): 0,000402 seg 
 readOneMessage(): 0,000034 seg 
 readOneMessage(): 0,000030 seg 
 readOneMessage(): 0,000028 seg 
 readOneMessage(): 0,000031 seg 
 readOneMessage(): 0,000030 seg 
 readOneMessage(): 0,000027 seg 
 readOneMessage(): 0,000035 seg 
 readOneMessage(): 0,000028 seg 
 readOneMessage(): 0,000036 seg 
 readOneMessage(): 0,000027 seg 
 readOneMessage(): 0,000450 seg 
 readOneMessage(): 0,000391 seg 
 readOneMessage(): 0,000392 seg 
 readOneMessage(): 0,000891 seg 
 readOneMessage(): 0,000879 seg 
 readOneMessage(): 0,000384 seg 
 readOneMessage(): 0,000387 seg 
 readOneMessage(): 0,000385 seg 
 readOneMessage(): 0,000411 seg 
 readOneMessage(): 0,000396 seg 
 readOneMessage(): 0,000393 seg 
 readOneMessage(): 0,000674 seg 
 readOneMessage(): 0,000668 seg 
 readOneMessage(): 0,000544 seg 
 readOneMessage(): 0,000390 seg 
 readOneMessage(): 0,000383 seg 
 readOneMessage(): 0,000699 seg 
 readOneMessage(): 0,000411 seg 
 readOneMessage(): 0,000394 seg 
 readOneMessage(): 0,000385 seg 
 readOneMessage(): 0,000396 seg 
 readOneMessage(): 0,000393 seg 
 readOneMessage(): 0,000395 seg 
 readOneMessage(): 0,000398 seg 
 readOneMessage(): 0,000390 seg 
 readOneMessage(): 0,000325 seg 
 readOneMessage(): 0,000237 seg 
 readOneMessage(): 0,000242 seg 
 readOneMessage(): 0,000249 seg 
 readOneMessage(): 0,000241 seg 
 readOneMessage(): 0,000235 seg 
 readOneMessage(): 0,000240 seg 
 readOneMessage(): 0,000547 seg 
 readOneMessage(): 0,000243 seg 
 readOneMessage(): 0,000250 seg 
 readOneMessage(): 0,000245 seg 
 readOneMessage(): 0,000236 seg 
 readOneMessage(): 0,000246 seg 
 readOneMessage(): 0,000253 seg 
 readOneMessage(): 0,000405 seg 
 readOneMessage(): 0,000370 seg 
 readOneMessage(): 0,000895 seg 
 readOneMessage(): 0,000396 seg 
 readOneMessage(): 0,000388 seg 
 readOneMessage(): 0,000417 seg 
 readOneMessage(): 0,000417 seg 
 readOneMessage(): 0,000402 seg 
 readOneMessage(): 0,000416 seg 
 readOneMessage(): 0,000404 seg 
 readOneMessage(): 0,000409 seg 
 readOneMessage(): 0,000403 seg 
 readOneMessage(): 0,000465 seg 
 readOneMessage(): 0,000086 seg 
 readOneMessage(): 0,000030 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000024 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000018 seg 
 readOneMessage(): 0,000018 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000018 seg 
 readOneMessage(): 0,000018 seg 
 readOneMessage(): 0,000018 seg 
 readOneMessage(): 0,000018 seg 
 readOneMessage(): 0,000037 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000024 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000018 seg 
 readOneMessage(): 0,000017 seg 
 readOneMessage(): 0,000017 seg 
 readOneMessage(): 0,000505 seg 
 readOneMessage(): 0,000391 seg 
 readOneMessage(): 0,000383 seg 
 readOneMessage(): 0,000023 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000022 seg 
 readOneMessage(): 0,000022 seg 
 readOneMessage(): 0,000022 seg 
 readOneMessage(): 0,000398 seg 
 readOneMessage(): 0,000022 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000485 seg 
 readOneMessage(): 0,000029 seg 
 readOneMessage(): 0,000018 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000031 seg 
 readOneMessage(): 0,000014 seg 
 readOneMessage(): 0,000018 seg 
 readOneMessage(): 0,000366 seg 
 readOneMessage(): 0,000018 seg 
 readOneMessage(): 0,000015 seg 
 readOneMessage(): 0,000016 seg 
 readOneMessage(): 0,000031 seg 
 readOneMessage(): 0,000021 seg 
 readOneMessage(): 0,000022 seg 
 readOneMessage(): 0,000032 seg 
 readOneMessage(): 0,000018 seg 
 readOneMessage(): 0,000013 seg 
 readOneMessage(): 0,000019 seg 
 readOneMessage(): 0,000282 seg 
 readOneMessage(): 0,000014 seg 
 readOneMessage(): 0,000020 seg 
 readOneMessage(): 0,000017 seg 
 readOneMessage(): 0,000012 seg 
 readOneMessage(): 0,000017 seg 
 readOneMessage(): 0,000014 seg 
 readOneMessage(): 0,000021 seg 
